
2024/05/01 (22:42:40) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/01 (22:42:40) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/03 (18:05:26) | ===> btop++ v.1.3.2
2024/05/03 (18:05:26) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/03 (18:05:26) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/03 (22:01:26) | ===> btop++ v.1.3.2
2024/05/03 (22:01:26) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/03 (22:01:26) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/03 (22:04:20) | ===> btop++ v.1.3.2
2024/05/03 (22:04:20) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/03 (22:04:20) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/06 (14:15:00) | ===> btop++ v.1.3.2
2024/05/06 (14:15:00) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/06 (14:15:00) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/09 (09:22:41) | ===> btop++ v.1.3.2
2024/05/09 (09:22:41) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/09 (09:22:41) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/11 (23:32:29) | ===> btop++ v.1.3.2
2024/05/11 (23:32:29) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/11 (23:32:29) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/12 (11:16:37) | ===> btop++ v.1.3.2
2024/05/12 (11:16:37) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/12 (11:16:37) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/17 (16:21:43) | ===> btop++ v.1.3.2
2024/05/17 (16:21:43) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/17 (16:21:43) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/05/17 (22:16:42) | ===> btop++ v.1.3.2
2024/05/17 (22:16:42) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/05/17 (22:16:42) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...
